signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-290,0.7543402486707641,3
GluGluToRadionToHHTo2G2Tau_M-290,0.6533951297108609,4
GluGluToRadionToHHTo2G2Tau_M-290,0.5788760118939995,5
GluGluToRadionToHHTo2G2Tau_M-290,0.5696812595896928,6
GluGluToRadionToHHTo2G2Tau_M-290,0.5710327121334265,7
GluGluToRadionToHHTo2G2Tau_M-290,0.5836294765929078,8
GluGluToRadionToHHTo2G2Tau_M-290,0.5872077233464742,9
GluGluToRadionToHHTo2G2Tau_M-290,0.6344250763807733,10
GluGluToRadionToHHTo2G2Tau_M-290,0.7414543780810736,11
GluGluToRadionToHHTo2G2Tau_M-290,0.6905604943247765,12
GluGluToRadionToHHTo2G2Tau_M-290,0.49996274032490434,13
GluGluToRadionToHHTo2G2Tau_M-290,0.6859744363090589,14
GluGluToRadionToHHTo2G2Tau_M-290,0.6745434699608359,15
GluGluToRadionToHHTo2G2Tau_M-290,0.7253748184121195,20
GluGluToRadionToHHTo2G2Tau_M-290,0.8374216546225742,25
GluGluToRadionToHHTo2G2Tau_M-290,0.8451519279350599,27
