signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-270,0.8048132796707871,3
GluGluToRadionToHHTo2G2Tau_M-270,0.7616502466700599,4
GluGluToRadionToHHTo2G2Tau_M-270,0.8060381080216061,5
GluGluToRadionToHHTo2G2Tau_M-270,0.7685784454028944,6
GluGluToRadionToHHTo2G2Tau_M-270,0.8066402231286608,7
GluGluToRadionToHHTo2G2Tau_M-270,0.7580170624620195,8
GluGluToRadionToHHTo2G2Tau_M-270,0.8533245728685964,9
GluGluToRadionToHHTo2G2Tau_M-270,0.8085247957810654,10
GluGluToRadionToHHTo2G2Tau_M-270,0.8216178190860635,11
GluGluToRadionToHHTo2G2Tau_M-270,0.824953199191067,12
GluGluToRadionToHHTo2G2Tau_M-270,0.8416248664663603,13
GluGluToRadionToHHTo2G2Tau_M-270,0.7476888563974656,14
GluGluToRadionToHHTo2G2Tau_M-270,0.8403354872609026,15
GluGluToRadionToHHTo2G2Tau_M-270,0.8451890549648665,20
GluGluToRadionToHHTo2G2Tau_M-270,0.7031995600028388,25
GluGluToRadionToHHTo2G2Tau_M-270,0.8929132810337349,27
