signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-260,0.8794456449378605,3
GluGluToRadionToHHTo2G2Tau_M-260,0.8772700383927363,4
GluGluToRadionToHHTo2G2Tau_M-260,0.8827873213671031,5
GluGluToRadionToHHTo2G2Tau_M-260,0.8551471835893621,6
GluGluToRadionToHHTo2G2Tau_M-260,0.8821248323184592,7
GluGluToRadionToHHTo2G2Tau_M-260,0.8652999962205766,8
GluGluToRadionToHHTo2G2Tau_M-260,0.8539590437041908,9
GluGluToRadionToHHTo2G2Tau_M-260,0.8686331808629437,10
GluGluToRadionToHHTo2G2Tau_M-260,0.9066033221188008,11
GluGluToRadionToHHTo2G2Tau_M-260,0.9005301629671683,12
GluGluToRadionToHHTo2G2Tau_M-260,0.8939131930083134,13
GluGluToRadionToHHTo2G2Tau_M-260,0.8881138364486099,14
GluGluToRadionToHHTo2G2Tau_M-260,0.9146826165625026,15
GluGluToRadionToHHTo2G2Tau_M-260,0.9041211117172145,20
GluGluToRadionToHHTo2G2Tau_M-260,0.923380918928489,25
GluGluToRadionToHHTo2G2Tau_M-260,0.9241897146075501,27
