signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-320,0.7411886915579101,3
GluGluToRadionToHHTo2G2Tau_M-320,0.7754013654235589,4
GluGluToRadionToHHTo2G2Tau_M-320,0.600201299007069,5
GluGluToRadionToHHTo2G2Tau_M-320,0.5996941763411018,6
GluGluToRadionToHHTo2G2Tau_M-320,0.6796196735981895,7
GluGluToRadionToHHTo2G2Tau_M-320,0.5924103359737908,8
GluGluToRadionToHHTo2G2Tau_M-320,0.46968360297746936,9
GluGluToRadionToHHTo2G2Tau_M-320,0.476867613876897,10
GluGluToRadionToHHTo2G2Tau_M-320,0.6537098706277163,11
GluGluToRadionToHHTo2G2Tau_M-320,0.44627864490205127,12
GluGluToRadionToHHTo2G2Tau_M-320,0.7164274624657968,13
GluGluToRadionToHHTo2G2Tau_M-320,0.715490174071176,14
GluGluToRadionToHHTo2G2Tau_M-320,0.7919387797343559,15
GluGluToRadionToHHTo2G2Tau_M-320,0.7370029379382192,20
GluGluToRadionToHHTo2G2Tau_M-320,0.7302971929215564,25
GluGluToRadionToHHTo2G2Tau_M-320,0.8615398648870697,27
