signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-900,0.9780862965797611,3
GluGluToRadionToHHTo2G2Tau_M-900,0.9784911263538965,4
GluGluToRadionToHHTo2G2Tau_M-900,0.9818679608467872,5
GluGluToRadionToHHTo2G2Tau_M-900,0.9875370438048564,6
GluGluToRadionToHHTo2G2Tau_M-900,0.9868417787410559,7
GluGluToRadionToHHTo2G2Tau_M-900,0.9867726385323546,8
GluGluToRadionToHHTo2G2Tau_M-900,0.4999380820289281,9
GluGluToRadionToHHTo2G2Tau_M-900,0.2718959867705866,10
GluGluToRadionToHHTo2G2Tau_M-900,0.9877597060441218,11
GluGluToRadionToHHTo2G2Tau_M-900,0.988283908085034,12
GluGluToRadionToHHTo2G2Tau_M-900,0.9875774662670833,13
GluGluToRadionToHHTo2G2Tau_M-900,0.9874586857923183,14
GluGluToRadionToHHTo2G2Tau_M-900,0.9868792194819925,15
GluGluToRadionToHHTo2G2Tau_M-900,0.9864190665561283,20
GluGluToRadionToHHTo2G2Tau_M-900,0.9878177986439199,25
GluGluToRadionToHHTo2G2Tau_M-900,0.9876485941250418,27
