signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-1000,0.989480129016931,3
GluGluToRadionToHHTo2G2Tau_M-1000,0.9861415856627245,4
GluGluToRadionToHHTo2G2Tau_M-1000,0.9878570581361374,5
GluGluToRadionToHHTo2G2Tau_M-1000,0.9913121936341333,6
GluGluToRadionToHHTo2G2Tau_M-1000,0.9863625258718575,7
GluGluToRadionToHHTo2G2Tau_M-1000,0.9913905683618816,8
GluGluToRadionToHHTo2G2Tau_M-1000,0.9904705883869588,9
GluGluToRadionToHHTo2G2Tau_M-1000,0.9889429986297568,10
GluGluToRadionToHHTo2G2Tau_M-1000,0.9895079786470563,11
GluGluToRadionToHHTo2G2Tau_M-1000,0.9920284807668974,12
GluGluToRadionToHHTo2G2Tau_M-1000,0.9909868896961976,13
GluGluToRadionToHHTo2G2Tau_M-1000,0.991312606579871,14
GluGluToRadionToHHTo2G2Tau_M-1000,0.9908781966822537,15
GluGluToRadionToHHTo2G2Tau_M-1000,0.991266285934367,20
GluGluToRadionToHHTo2G2Tau_M-1000,0.9927406213548756,25
GluGluToRadionToHHTo2G2Tau_M-1000,0.9935546076519578,27
