signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-450,0.8391780536717042,3
GluGluToRadionToHHTo2G2Tau_M-450,0.8292013394723997,4
GluGluToRadionToHHTo2G2Tau_M-450,0.842393048706461,5
GluGluToRadionToHHTo2G2Tau_M-450,0.818376502973026,6
GluGluToRadionToHHTo2G2Tau_M-450,0.8408039371494218,7
GluGluToRadionToHHTo2G2Tau_M-450,0.8124000713682268,8
GluGluToRadionToHHTo2G2Tau_M-450,0.8317122449503886,9
GluGluToRadionToHHTo2G2Tau_M-450,0.8366321054998863,10
GluGluToRadionToHHTo2G2Tau_M-450,0.8294157081184788,11
GluGluToRadionToHHTo2G2Tau_M-450,0.8250818066370299,12
GluGluToRadionToHHTo2G2Tau_M-450,0.8425591318242168,13
GluGluToRadionToHHTo2G2Tau_M-450,0.8377342173457072,14
GluGluToRadionToHHTo2G2Tau_M-450,0.8457722639680169,15
GluGluToRadionToHHTo2G2Tau_M-450,0.8332246526448142,20
GluGluToRadionToHHTo2G2Tau_M-450,0.8476664037434829,25
GluGluToRadionToHHTo2G2Tau_M-450,0.9027644175318348,27
