signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-700,0.964206913515716,3
GluGluToRadionToHHTo2G2Tau_M-700,0.9646085661892212,4
GluGluToRadionToHHTo2G2Tau_M-700,0.9620409114669534,5
GluGluToRadionToHHTo2G2Tau_M-700,0.962253309395088,6
GluGluToRadionToHHTo2G2Tau_M-700,0.9674085271899847,7
GluGluToRadionToHHTo2G2Tau_M-700,0.9676960677838514,8
GluGluToRadionToHHTo2G2Tau_M-700,0.9676209118250794,9
GluGluToRadionToHHTo2G2Tau_M-700,0.9669699013704165,10
GluGluToRadionToHHTo2G2Tau_M-700,0.9675777158023884,11
GluGluToRadionToHHTo2G2Tau_M-700,0.9679547775076782,12
GluGluToRadionToHHTo2G2Tau_M-700,0.9624051083992452,13
GluGluToRadionToHHTo2G2Tau_M-700,0.9668654267448298,14
GluGluToRadionToHHTo2G2Tau_M-700,0.9637024276180935,15
GluGluToRadionToHHTo2G2Tau_M-700,0.9679419878692548,20
GluGluToRadionToHHTo2G2Tau_M-700,0.9731990968162982,25
GluGluToRadionToHHTo2G2Tau_M-700,0.9737935465413741,27
