signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-550,0.9094611507758432,3
GluGluToRadionToHHTo2G2Tau_M-550,0.9113531218230833,4
GluGluToRadionToHHTo2G2Tau_M-550,0.9087064689999136,5
GluGluToRadionToHHTo2G2Tau_M-550,0.9115520118801649,6
GluGluToRadionToHHTo2G2Tau_M-550,0.9234983749274457,7
GluGluToRadionToHHTo2G2Tau_M-550,0.9177653260504989,8
GluGluToRadionToHHTo2G2Tau_M-550,0.9106330647774175,9
GluGluToRadionToHHTo2G2Tau_M-550,0.9149001275081753,10
GluGluToRadionToHHTo2G2Tau_M-550,0.9101613204357537,11
GluGluToRadionToHHTo2G2Tau_M-550,0.9159332087375515,12
GluGluToRadionToHHTo2G2Tau_M-550,0.9095027744065269,13
GluGluToRadionToHHTo2G2Tau_M-550,0.9094853887913552,14
GluGluToRadionToHHTo2G2Tau_M-550,0.9206538455741848,15
GluGluToRadionToHHTo2G2Tau_M-550,0.9165018938720267,20
GluGluToRadionToHHTo2G2Tau_M-550,0.9137816325066446,25
GluGluToRadionToHHTo2G2Tau_M-550,0.950207309374375,27
