signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-500,0.8693433830782834,3
GluGluToRadionToHHTo2G2Tau_M-500,0.8773373700170413,4
GluGluToRadionToHHTo2G2Tau_M-500,0.8859027657831454,5
GluGluToRadionToHHTo2G2Tau_M-500,0.8688658291237242,6
GluGluToRadionToHHTo2G2Tau_M-500,0.8718259648448476,7
GluGluToRadionToHHTo2G2Tau_M-500,0.8709528158362394,8
GluGluToRadionToHHTo2G2Tau_M-500,0.8715716663909592,9
GluGluToRadionToHHTo2G2Tau_M-500,0.8693953678993636,10
GluGluToRadionToHHTo2G2Tau_M-500,0.8690280326214804,11
GluGluToRadionToHHTo2G2Tau_M-500,0.8858179461628192,12
GluGluToRadionToHHTo2G2Tau_M-500,0.8825394076888364,13
GluGluToRadionToHHTo2G2Tau_M-500,0.8708789221434157,14
GluGluToRadionToHHTo2G2Tau_M-500,0.8871786734288012,15
GluGluToRadionToHHTo2G2Tau_M-500,0.8777160949585648,20
GluGluToRadionToHHTo2G2Tau_M-500,0.8669241849191184,25
GluGluToRadionToHHTo2G2Tau_M-500,0.9059278691126798,27
