signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-400,0.893807004893361,27
GluGluToRadionToHHTo2G2Tau_M-400,0.8586938650574524,25
GluGluToRadionToHHTo2G2Tau_M-400,0.8127519712958156,20
GluGluToRadionToHHTo2G2Tau_M-400,0.798230529778334,15
GluGluToRadionToHHTo2G2Tau_M-400,0.7924623983974936,12
GluGluToRadionToHHTo2G2Tau_M-400,0.8052403521743567,10
GluGluToRadionToHHTo2G2Tau_M-400,0.6852801365148977,8
GluGluToRadionToHHTo2G2Tau_M-400,0.8481128618184952,6
GluGluToRadionToHHTo2G2Tau_M-400,0.8330843323730186,5
GluGluToRadionToHHTo2G2Tau_M-400,0.8574597589727153,4
GluGluToRadionToHHTo2G2Tau_M-400,0.8149469799792275,3
