signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-350,0.6867714968902594,3
GluGluToRadionToHHTo2G2Tau_M-350,0.6495319115144336,4
GluGluToRadionToHHTo2G2Tau_M-350,0.6465929242485553,5
GluGluToRadionToHHTo2G2Tau_M-350,0.6099650668141419,6
GluGluToRadionToHHTo2G2Tau_M-350,0.5697001383889287,7
GluGluToRadionToHHTo2G2Tau_M-350,0.5729971007668877,8
GluGluToRadionToHHTo2G2Tau_M-350,0.4672255728586598,9
GluGluToRadionToHHTo2G2Tau_M-350,0.6544110775879789,10
GluGluToRadionToHHTo2G2Tau_M-350,0.5776034319344139,11
GluGluToRadionToHHTo2G2Tau_M-350,0.5803991075977153,12
GluGluToRadionToHHTo2G2Tau_M-350,0.5799006669108013,13
GluGluToRadionToHHTo2G2Tau_M-350,0.583186524179776,14
GluGluToRadionToHHTo2G2Tau_M-350,0.7347289271523169,15
GluGluToRadionToHHTo2G2Tau_M-350,0.7645030353373363,20
GluGluToRadionToHHTo2G2Tau_M-350,0.8029744756968138,25
GluGluToRadionToHHTo2G2Tau_M-350,0.5940961046275139,27
