signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-300,0.7167105801284923,3
GluGluToRadionToHHTo2G2Tau_M-300,0.7277052645497737,4
GluGluToRadionToHHTo2G2Tau_M-300,0.49464899251921385,5
GluGluToRadionToHHTo2G2Tau_M-300,0.5194135843888632,6
GluGluToRadionToHHTo2G2Tau_M-300,0.6601677761819913,7
GluGluToRadionToHHTo2G2Tau_M-300,0.7109352579186421,8
GluGluToRadionToHHTo2G2Tau_M-300,0.6407664144995883,9
GluGluToRadionToHHTo2G2Tau_M-300,0.640452576861487,10
GluGluToRadionToHHTo2G2Tau_M-300,0.6151099512184154,11
GluGluToRadionToHHTo2G2Tau_M-300,0.7302857877228461,12
GluGluToRadionToHHTo2G2Tau_M-300,0.7114045563082944,13
GluGluToRadionToHHTo2G2Tau_M-300,0.6406873131986286,14
GluGluToRadionToHHTo2G2Tau_M-300,0.6803701112975957,15
GluGluToRadionToHHTo2G2Tau_M-300,0.6190878384401065,20
GluGluToRadionToHHTo2G2Tau_M-300,0.8212341388598101,25
GluGluToRadionToHHTo2G2Tau_M-300,0.7843250715469735,27
