signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-280,0.6179535993871352,3
GluGluToRadionToHHTo2G2Tau_M-280,0.6233955297807364,4
GluGluToRadionToHHTo2G2Tau_M-280,0.7151540663548167,5
GluGluToRadionToHHTo2G2Tau_M-280,0.6887950763347752,6
GluGluToRadionToHHTo2G2Tau_M-280,0.744689462866992,7
GluGluToRadionToHHTo2G2Tau_M-280,0.7251079517718568,8
GluGluToRadionToHHTo2G2Tau_M-280,0.753922503654967,9
GluGluToRadionToHHTo2G2Tau_M-280,0.5962742839267511,10
GluGluToRadionToHHTo2G2Tau_M-280,0.7577266688412321,11
GluGluToRadionToHHTo2G2Tau_M-280,0.6044673636010053,12
GluGluToRadionToHHTo2G2Tau_M-280,0.615492949082312,13
GluGluToRadionToHHTo2G2Tau_M-280,0.7844589779051945,14
GluGluToRadionToHHTo2G2Tau_M-280,0.7603723389159043,15
GluGluToRadionToHHTo2G2Tau_M-280,0.8464987221431115,20
GluGluToRadionToHHTo2G2Tau_M-280,0.8794324249970709,25
GluGluToRadionToHHTo2G2Tau_M-280,0.8799493151392948,27
