signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-800,0.9735599109750523,3
GluGluToRadionToHHTo2G2Tau_M-800,0.9782884537323774,4
GluGluToRadionToHHTo2G2Tau_M-800,0.9776428090695765,5
GluGluToRadionToHHTo2G2Tau_M-800,0.9800072139880915,6
GluGluToRadionToHHTo2G2Tau_M-800,0.9793229493867069,7
GluGluToRadionToHHTo2G2Tau_M-800,0.9806195248647143,8
GluGluToRadionToHHTo2G2Tau_M-800,0.9792652932222021,9
GluGluToRadionToHHTo2G2Tau_M-800,0.9788547746566006,10
GluGluToRadionToHHTo2G2Tau_M-800,0.9787966840211185,11
GluGluToRadionToHHTo2G2Tau_M-800,0.9799130867837874,12
GluGluToRadionToHHTo2G2Tau_M-800,0.9796255474939375,13
GluGluToRadionToHHTo2G2Tau_M-800,0.9797760914210013,14
GluGluToRadionToHHTo2G2Tau_M-800,0.9793308071808228,15
GluGluToRadionToHHTo2G2Tau_M-800,0.9723893832573913,20
GluGluToRadionToHHTo2G2Tau_M-800,0.9805472182322387,25
GluGluToRadionToHHTo2G2Tau_M-800,0.9807540029612989,27
