signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-650,0.9481646258432388,3
GluGluToRadionToHHTo2G2Tau_M-650,0.9621269451230579,4
GluGluToRadionToHHTo2G2Tau_M-650,0.9614908239202454,5
GluGluToRadionToHHTo2G2Tau_M-650,0.9614973030905059,6
GluGluToRadionToHHTo2G2Tau_M-650,0.956565436559013,7
GluGluToRadionToHHTo2G2Tau_M-650,0.9598973478632543,8
GluGluToRadionToHHTo2G2Tau_M-650,0.9563669972612004,9
GluGluToRadionToHHTo2G2Tau_M-650,0.9575121488662438,10
GluGluToRadionToHHTo2G2Tau_M-650,0.9593426398343434,11
GluGluToRadionToHHTo2G2Tau_M-650,0.9562449366427217,12
GluGluToRadionToHHTo2G2Tau_M-650,0.9556039405065374,13
GluGluToRadionToHHTo2G2Tau_M-650,0.9563616097605893,14
GluGluToRadionToHHTo2G2Tau_M-650,0.9600599733734134,15
GluGluToRadionToHHTo2G2Tau_M-650,0.9565390750780352,20
GluGluToRadionToHHTo2G2Tau_M-650,0.9541360606730572,25
GluGluToRadionToHHTo2G2Tau_M-650,0.9603253322671541,27
