signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-750,0.9660868672716283,3
GluGluToRadionToHHTo2G2Tau_M-750,0.9684775929692229,4
GluGluToRadionToHHTo2G2Tau_M-750,0.9790426738314172,5
GluGluToRadionToHHTo2G2Tau_M-750,0.9760096777007152,6
GluGluToRadionToHHTo2G2Tau_M-750,0.9738180130332261,7
GluGluToRadionToHHTo2G2Tau_M-750,0.9723646850366712,8
GluGluToRadionToHHTo2G2Tau_M-750,0.9763581861037766,9
GluGluToRadionToHHTo2G2Tau_M-750,0.9713389006999955,10
GluGluToRadionToHHTo2G2Tau_M-750,0.9754828950435711,11
GluGluToRadionToHHTo2G2Tau_M-750,0.9795331380453445,12
GluGluToRadionToHHTo2G2Tau_M-750,0.9798679757106044,13
GluGluToRadionToHHTo2G2Tau_M-750,0.9652368976467804,14
GluGluToRadionToHHTo2G2Tau_M-750,0.9789752264066782,15
GluGluToRadionToHHTo2G2Tau_M-750,0.9757745218727186,20
GluGluToRadionToHHTo2G2Tau_M-750,0.9745022826120978,25
GluGluToRadionToHHTo2G2Tau_M-750,0.9719506913906241,27
