signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-500,0.917807666881151,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.918889944163128,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9289174726045976,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9247973039749333,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9277166050683167,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-500,0.918943748198271,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9172885355608075,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9034552576730845,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9197918356896196,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.927076727500739,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9308517624101872,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9242587535137514,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.910293037146329,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.8982571929276134,"[128, 128, 64, 8]"
