signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-600,0.9499194048222492,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9579299683093636,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9610247366793679,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9596789487042264,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9586055952247475,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9479840797705782,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9474120480634058,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9526726160023054,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9610941167287108,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9578018355375226,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9503937748575999,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9445140204494147,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9459293726721884,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9380536802177468,"[128, 128, 64, 8]"
