signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-550,0.9357087128049875,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9421301979532877,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.943871193625609,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9456353792744143,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9436404771306425,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-550,0.935304557120069,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9207653934109536,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-550,0.8974925168992102,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9486145802341611,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9409762985311676,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9469397687899408,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9388966059449053,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9154403571152421,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9241787748242606,"[128, 128, 64, 8]"
