signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-400,0.8692196709654365,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-400,0.8799439409535483,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-400,0.9009503894452356,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-400,0.9054689238895606,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-400,0.9028598818813427,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-400,0.897051729581255,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-400,0.8855624943241699,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-400,0.86982783639714,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-400,0.8822604423482772,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-400,0.9001039514483595,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-400,0.9024104581414033,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-400,0.9022816425330182,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-400,0.9005469244880449,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-400,0.8645804570490984,"[128, 128, 64, 8]"
