signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-700,0.9718232359591678,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9728629389512246,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9709766450059353,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9754833468140366,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9702183319759001,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9684333587379512,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9692470962316263,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9503612528706913,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-700,0.971354954523117,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9729991937678724,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.968669585307351,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9651525139211912,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9604200725963897,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.964695087119296,"[128, 128, 64, 8]"
