signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-270,0.894800397463789,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.8983543626785403,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9054770188194898,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9026709865063464,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-270,0.8922881462076446,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-270,0.8917045871654492,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-270,0.8765812403859305,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-270,0.8617245073531035,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9029810054419218,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.906468533999204,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.8887908843228571,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.8988399222461757,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.861172849515049,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.8741258616532745,"[128, 128, 64, 8]"
