signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-650,0.9596285174353861,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9694183681200644,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9617713571453248,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9614612903134071,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9585471773713157,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9553954088090664,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-650,0.952056117029431,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9482273450984963,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9648508112182379,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9668369716908474,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9599080723470323,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.961206844419761,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9426148397905297,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9506546941260173,"[128, 128, 64, 8]"
