signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-300,0.8462319474868789,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8490936316384518,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8667206037729935,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8688179883063215,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8659433171019665,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8634680242550894,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8566765850569201,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8275405405131402,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8523411728496759,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8683904567158367,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8809710811562536,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8782616386165806,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8689904195966276,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8535982890306928,"[128, 128, 64, 8]"
