signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-280,0.8649122871598247,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8776312817035915,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8825116827625343,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-280,0.881544695008402,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8828162118344388,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8809194735101483,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8637104583349865,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8447043872455822,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8836723790408314,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8789742345850236,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8852124534256541,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8833857414734013,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8560045612482784,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.8700138996184057,"[128, 128, 64, 8]"
