signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-1000,0.9921290857401874,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9934151079366873,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.992467371837743,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.99232082926172,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9928610277882598,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9880932412641413,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9857750502795136,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9853918204968963,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9924173199664424,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.993494745234162,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9898856592933303,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.986901144287638,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9882344914896194,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9822477646174512,"[128, 128, 64, 8]"
