signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-290,0.8678980838415824,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8620136875969693,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8759053139180056,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8760003596739595,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8670641371901122,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8660184639291593,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8468384354683122,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8461839454424296,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8901333466996016,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8666976954706558,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8691912138779709,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8736045599062997,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8734023097793873,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8585058468198004,"[128, 128, 64, 8]"
