signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-900,0.9866917089954974,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9888808154361903,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9903133875371009,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-900,0.989196329149381,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9879654393702592,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9857891796653551,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9832476348567125,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9784101418931986,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9880322856427008,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9884399482005044,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9862452113239396,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.988475255818228,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9868545641204823,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9807985808059613,"[128, 128, 64, 8]"
