signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-290,0.9030819710956115,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8405041831855387,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.9036972476516507,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8856480247225281,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-290,0.901279730703915,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8928656500395127,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8824009034032454,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-290,0.5,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-290,0.9143404416455683,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.887765631864366,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8876116381555296,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8743946964678586,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.5,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-290,0.8736657946083005,"[128, 128, 64, 8]"
