signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-280,0.9157120113002465,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.932008894605553,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9116205224382063,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9041686118892002,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9261277237377301,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9112643923987476,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9218366792097576,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9106172798292839,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9118988318679933,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9169830000804409,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9263909270755906,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9122766703286588,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9243054773438876,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-280,0.9196516301971749,"[128, 128, 64, 8]"
