signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-450,0.9310366510681495,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9437113063425319,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9247891444501788,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9294238969365332,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9242109412629809,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9392197568732268,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9192420343925987,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-450,0.5,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9377239638795531,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9246470368062866,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9427550665926353,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9305582151070098,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-450,0.9431590222230113,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-450,0.5,"[128, 128, 64, 8]"
