signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-270,0.9499827598847793,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9430601116395275,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9396423636617426,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9392865602533391,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-270,0.934383937001731,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9364828332019735,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-270,0.927445393964773,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-270,0.5,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9216457877157043,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.5,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.5,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.9370795775895658,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.5,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-270,0.5,"[128, 128, 64, 8]"
