signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-800,0.9838547359646944,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9853528457366025,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9776347321741455,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9510533441248178,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9628304732053815,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9800968824006735,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9784525776762193,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-800,0.5,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9831188023687992,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9750584274970902,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9622637423324694,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9803964333470374,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-800,0.9737836379398516,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-800,0.936210658197217,"[128, 128, 64, 8]"
