signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-700,0.9728884026364185,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.974300954595979,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9783748801001019,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9756136914294768,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9798766578344125,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9801707079722063,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9718401961444239,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9818672293215206,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9799615957368024,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9515881230228691,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9828814582251343,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9614708590940747,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9798151648090008,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-700,0.9685993298566995,"[128, 128, 64, 8]"
