signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-260,0.963834472683703,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9661545342314829,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9635833055110199,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9616036654351205,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9580999336096236,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9582601642471629,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9618128538116026,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-260,0.8978982090336669,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9567271122547074,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9620379509999808,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9600159255875265,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.5,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9603643213250846,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.5,"[128, 128, 64, 8]"
