signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-600,0.9670203224183082,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9611683767263548,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9608321769632523,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9676612495112392,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9699683017343976,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9484205931383228,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9706616972528644,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9641620679179566,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9623468623593475,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9725428288162956,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9467388999867051,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9631152435644643,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9581140908293602,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-600,0.9630571819121444,"[128, 128, 64, 8]"
