signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-900,0.9896030001091987,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9915527776464664,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9915757457080097,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9901958940615186,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9864864719631627,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9556127796879311,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9898450717409862,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-900,0.5,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9815095338009785,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9909142108096468,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.984572592351202,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9573867272087974,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9798017447675235,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-900,0.9814342960563557,"[128, 128, 64, 8]"
