signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-750,0.9767313171896347,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9840979917239435,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9868300129846698,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9851568822448499,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9754223984265517,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9874305357339224,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-750,0.984598812607993,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-750,0.5,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9865506349096089,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9821781801895261,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9874340422923547,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-750,0.5,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9748069481862848,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-750,0.9273595435863989,"[128, 128, 64, 8]"
