signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-350,0.9021660144281202,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-350,0.8840218936865798,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-350,0.8934313862217238,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-350,0.8993938029359734,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-350,0.8730629247005387,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-350,0.9044236653488071,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-350,0.8841127041673043,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-350,0.8904376481859696,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-350,0.8749335282942546,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-350,0.5,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-350,0.879934969842571,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-350,0.5,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-350,0.5,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-350,0.5,"[128, 128, 64, 8]"
