signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-650,0.9731077291546804,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.5,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.980953004464377,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9689589212054484,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9718446852363765,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9634924605967263,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-650,0.97968254741916,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-650,0.5,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9741728081462943,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9626466784467435,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.953691190505378,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9775190898152302,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9503484315040799,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-650,0.9764048622788754,"[128, 128, 64, 8]"
