signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-500,0.9387348563543103,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9444841125519536,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9240010773882869,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9296918769849426,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9489620528519317,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9236600101018457,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-500,0.5,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-500,0.93908985625092,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9367350368312924,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9254607537825664,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.5,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.5,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.9322511166158028,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-500,0.5,"[128, 128, 64, 8]"
